timestamp,cpu_load,events_per_sec,avg_latency,score
2026-04-26 12:42:08,70%,964.72,1.04,927.62
2026-04-26 12:42:08,80%,919.37,1.09,843.46
2026-04-26 12:42:08,90%,877.47,1.14,769.71
2026-04-26 13:13:46,30%,1062.83,0.94,1130.67
2026-04-26 13:13:46,40%,943.50,1.06,890.09
2026-04-26 13:13:46,50%,964.34,1.04,927.25
2026-04-26 13:13:46,60%,936.29,1.07,875.04
2026-04-26 13:13:46,70%,919.94,1.09,843.98
2026-04-26 13:13:46,80%,911.76,1.10,828.87
2026-04-26 13:13:46,90%,838.40,1.19,704.54
2026-04-26 13:45:25,30%,977.63,1.02,958.46
2026-04-26 13:45:25,40%,1022.13,0.98,1042.99
2026-04-26 13:45:25,50%,1013.12,0.99,1023.35
2026-04-26 13:45:25,60%,912.42,1.09,837.08
2026-04-26 13:45:25,70%,846.14,1.18,717.07
2026-04-26 13:45:25,80%,890.80,1.12,795.36
2026-04-26 13:45:25,90%,901.08,1.11,811.78
2026-04-26 14:17:03,30%,981.90,1.02,962.65
2026-04-26 14:17:03,40%,977.88,1.02,958.71
2026-04-26 14:17:03,50%,958.22,1.04,921.37
2026-04-26 14:17:03,60%,981.98,1.02,962.73
2026-04-26 14:17:03,70%,917.80,1.09,842.02
2026-04-26 14:17:03,80%,898.19,1.11,809.18
2026-04-26 14:17:03,90%,854.36,1.17,730.22
2026-04-26 14:48:41,30%,1006.88,0.99,1017.05
2026-04-26 14:48:41,40%,1005.99,0.99,1016.15
2026-04-26 14:48:41,50%,865.94,1.15,752.99
2026-04-26 14:48:41,60%,939.89,1.06,886.69
2026-04-26 14:48:41,70%,906.93,1.10,824.48
2026-04-26 14:48:41,80%,894.68,1.12,798.82
2026-04-26 14:48:41,90%,813.31,1.23,661.23
2026-04-26 15:20:20,30%,997.44,1.00,997.44
2026-04-26 15:20:20,40%,1019.50,0.98,1040.31
2026-04-26 15:20:20,50%,958.72,1.04,921.85
2026-04-26 15:20:20,60%,964.11,1.04,927.03
2026-04-26 15:20:20,70%,907.11,1.10,824.65
2026-04-26 15:20:20,80%,887.37,1.13,785.28
2026-04-26 15:20:20,90%,868.42,1.15,755.15
2026-04-26 15:51:58,30%,1023.07,0.98,1043.95
2026-04-26 15:51:58,40%,968.08,1.03,939.88
2026-04-26 15:51:58,50%,957.00,1.04,920.19
2026-04-26 15:51:58,60%,926.47,1.08,857.84
2026-04-26 15:51:58,70%,904.32,1.10,822.11
2026-04-26 15:51:58,80%,887.03,1.13,784.98
2026-04-26 15:51:58,90%,865.97,1.15,753.02
2026-04-26 16:23:36,30%,1015.63,0.98,1036.36
2026-04-26 16:23:36,40%,988.03,1.01,978.25
2026-04-26 16:23:36,50%,953.98,1.05,908.55
2026-04-26 16:23:36,60%,965.88,1.03,937.75
2026-04-26 16:23:36,70%,955.05,1.05,909.57
2026-04-26 16:23:36,80%,892.06,1.12,796.48
2026-04-26 16:23:36,90%,824.00,1.21,680.99
